"Notes"	"State"	"State Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Sunday"	"1"	1144	Not Applicable	Not Applicable
	"Alabama"	"01"	"Monday"	"2"	901	Not Applicable	Not Applicable
	"Alabama"	"01"	"Tuesday"	"3"	928	Not Applicable	Not Applicable
	"Alabama"	"01"	"Wednesday"	"4"	906	Not Applicable	Not Applicable
	"Alabama"	"01"	"Thursday"	"5"	1015	Not Applicable	Not Applicable
	"Alabama"	"01"	"Friday"	"6"	1169	Not Applicable	Not Applicable
	"Alabama"	"01"	"Saturday"	"7"	1237	Not Applicable	Not Applicable
	"Alabama"	"01"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sunday"	"1"	226	Not Applicable	Not Applicable
	"Alaska"	"02"	"Monday"	"2"	205	Not Applicable	Not Applicable
	"Alaska"	"02"	"Tuesday"	"3"	207	Not Applicable	Not Applicable
	"Alaska"	"02"	"Wednesday"	"4"	214	Not Applicable	Not Applicable
	"Alaska"	"02"	"Thursday"	"5"	211	Not Applicable	Not Applicable
	"Alaska"	"02"	"Friday"	"6"	209	Not Applicable	Not Applicable
	"Alaska"	"02"	"Saturday"	"7"	263	Not Applicable	Not Applicable
	"Alaska"	"02"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sunday"	"1"	2291	Not Applicable	Not Applicable
	"Arizona"	"04"	"Monday"	"2"	2121	Not Applicable	Not Applicable
	"Arizona"	"04"	"Tuesday"	"3"	2006	Not Applicable	Not Applicable
	"Arizona"	"04"	"Wednesday"	"4"	1958	Not Applicable	Not Applicable
	"Arizona"	"04"	"Thursday"	"5"	2088	Not Applicable	Not Applicable
	"Arizona"	"04"	"Friday"	"6"	2076	Not Applicable	Not Applicable
	"Arizona"	"04"	"Saturday"	"7"	2359	Not Applicable	Not Applicable
	"Arizona"	"04"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sunday"	"1"	757	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Monday"	"2"	571	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Tuesday"	"3"	620	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Wednesday"	"4"	606	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Thursday"	"5"	635	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Friday"	"6"	710	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Saturday"	"7"	701	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Sunday"	"1"	8657	Not Applicable	Not Applicable
	"California"	"06"	"Monday"	"2"	8349	Not Applicable	Not Applicable
	"California"	"06"	"Tuesday"	"3"	8132	Not Applicable	Not Applicable
	"California"	"06"	"Wednesday"	"4"	8103	Not Applicable	Not Applicable
	"California"	"06"	"Thursday"	"5"	8065	Not Applicable	Not Applicable
	"California"	"06"	"Friday"	"6"	8462	Not Applicable	Not Applicable
	"California"	"06"	"Saturday"	"7"	8821	Not Applicable	Not Applicable
	"California"	"06"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Colorado"	"08"	"Sunday"	"1"	1707	Not Applicable	Not Applicable
	"Colorado"	"08"	"Monday"	"2"	1532	Not Applicable	Not Applicable
	"Colorado"	"08"	"Tuesday"	"3"	1460	Not Applicable	Not Applicable
	"Colorado"	"08"	"Wednesday"	"4"	1438	Not Applicable	Not Applicable
	"Colorado"	"08"	"Thursday"	"5"	1481	Not Applicable	Not Applicable
	"Colorado"	"08"	"Friday"	"6"	1469	Not Applicable	Not Applicable
	"Colorado"	"08"	"Saturday"	"7"	1711	Not Applicable	Not Applicable
	"Colorado"	"08"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Sunday"	"1"	1004	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Monday"	"2"	961	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Tuesday"	"3"	900	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Wednesday"	"4"	914	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Thursday"	"5"	945	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Friday"	"6"	1037	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Saturday"	"7"	1193	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"Sunday"	"1"	285	Not Applicable	Not Applicable
	"Delaware"	"10"	"Monday"	"2"	218	Not Applicable	Not Applicable
	"Delaware"	"10"	"Tuesday"	"3"	248	Not Applicable	Not Applicable
	"Delaware"	"10"	"Wednesday"	"4"	238	Not Applicable	Not Applicable
	"Delaware"	"10"	"Thursday"	"5"	270	Not Applicable	Not Applicable
	"Delaware"	"10"	"Friday"	"6"	295	Not Applicable	Not Applicable
	"Delaware"	"10"	"Saturday"	"7"	319	Not Applicable	Not Applicable
	"Delaware"	"10"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Sunday"	"1"	174	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Monday"	"2"	175	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Tuesday"	"3"	185	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Wednesday"	"4"	168	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Thursday"	"5"	195	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Friday"	"6"	209	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Saturday"	"7"	218	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"Sunday"	"1"	6165	Not Applicable	Not Applicable
	"Florida"	"12"	"Monday"	"2"	5450	Not Applicable	Not Applicable
	"Florida"	"12"	"Tuesday"	"3"	5231	Not Applicable	Not Applicable
	"Florida"	"12"	"Wednesday"	"4"	5357	Not Applicable	Not Applicable
	"Florida"	"12"	"Thursday"	"5"	5512	Not Applicable	Not Applicable
	"Florida"	"12"	"Friday"	"6"	5938	Not Applicable	Not Applicable
	"Florida"	"12"	"Saturday"	"7"	6665	Not Applicable	Not Applicable
	"Florida"	"12"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Georgia"	"13"	"Sunday"	"1"	2184	Not Applicable	Not Applicable
	"Georgia"	"13"	"Monday"	"2"	1871	Not Applicable	Not Applicable
	"Georgia"	"13"	"Tuesday"	"3"	1861	Not Applicable	Not Applicable
