"Notes"	"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Jan., 1999"	"1999/01"	"< 1 year"	"1"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"< 1 year"	"1"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"< 1 year"	"1"			3	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"1-4 years"	"1-4"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"1-4 years"	"1-4"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"1-4 years"	"1-4"			1	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"5-9 years"	"5-9"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"5-9 years"	"5-9"			1	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"10-14 years"	"10-14"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"10-14 years"	"10-14"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"10-14 years"	"10-14"			3	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"15-19 years"	"15-19"	"Female"	"F"	5	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"15-19 years"	"15-19"	"Male"	"M"	22	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"15-19 years"	"15-19"			27	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"20-24 years"	"20-24"	"Female"	"F"	12	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"20-24 years"	"20-24"	"Male"	"M"	43	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"20-24 years"	"20-24"			55	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"25-29 years"	"25-29"	"Female"	"F"	22	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"25-29 years"	"25-29"	"Male"	"M"	66	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"25-29 years"	"25-29"			88	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"30-34 years"	"30-34"	"Female"	"F"	37	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"30-34 years"	"30-34"	"Male"	"M"	106	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"30-34 years"	"30-34"			143	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"35-39 years"	"35-39"	"Female"	"F"	74	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"35-39 years"	"35-39"	"Male"	"M"	159	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"35-39 years"	"35-39"			233	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"40-44 years"	"40-44"	"Female"	"F"	81	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"40-44 years"	"40-44"	"Male"	"M"	199	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"40-44 years"	"40-44"			280	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"45-49 years"	"45-49"	"Female"	"F"	67	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"45-49 years"	"45-49"	"Male"	"M"	167	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"45-49 years"	"45-49"			234	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"50-54 years"	"50-54"	"Female"	"F"	43	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"50-54 years"	"50-54"	"Male"	"M"	64	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"50-54 years"	"50-54"			107	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"55-59 years"	"55-59"	"Female"	"F"	22	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"55-59 years"	"55-59"	"Male"	"M"	36	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"55-59 years"	"55-59"			58	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"60-64 years "	"60-64"	"Female"	"F"	12	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"60-64 years "	"60-64"	"Male"	"M"	15	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"60-64 years "	"60-64"			27	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"65-69 years"	"65-69"	"Female"	"F"	9	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"65-69 years"	"65-69"	"Male"	"M"	12	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"	"65-69 years"	"65-69"			21	Not Applicable	Not Applicable
