 "Notes"	"Year"	"Year Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Sunday"	"1"	2523	Not Applicable	Not Applicable
	"1999"	"1999"	"Monday"	"2"	2181	Not Applicable	Not Applicable
	"1999"	"1999"	"Tuesday"	"3"	2165	Not Applicable	Not Applicable
	"1999"	"1999"	"Wednesday"	"4"	2200	Not Applicable	Not Applicable
	"1999"	"1999"	"Thursday"	"5"	2272	Not Applicable	Not Applicable
	"1999"	"1999"	"Friday"	"6"	2394	Not Applicable	Not Applicable
	"1999"	"1999"	"Saturday"	"7"	2734	Not Applicable	Not Applicable
	"1999"	"1999"	"Unknown"	"9"	1	Not Applicable	Not Applicable
"Total"	"1999"	"1999"			16470	Not Applicable	Not Applicable
	"2000"	"2000"	"Sunday"	"1"	2544	Not Applicable	Not Applicable
	"2000"	"2000"	"Monday"	"2"	2294	Not Applicable	Not Applicable
	"2000"	"2000"	"Tuesday"	"3"	2225	Not Applicable	Not Applicable
	"2000"	"2000"	"Wednesday"	"4"	2248	Not Applicable	Not Applicable
	"2000"	"2000"	"Thursday"	"5"	2256	Not Applicable	Not Applicable
	"2000"	"2000"	"Friday"	"6"	2511	Not Applicable	Not Applicable
	"2000"	"2000"	"Saturday"	"7"	2910	Not Applicable	Not Applicable
	"2000"	"2000"	"Unknown"	"9"	1	Not Applicable	Not Applicable
"Total"	"2000"	"2000"			16989	Not Applicable	Not Applicable
	"2001"	"2001"	"Sunday"	"1"	2980	Not Applicable	Not Applicable
	"2001"	"2001"	"Monday"	"2"	2567	Not Applicable	Not Applicable
	"2001"	"2001"	"Tuesday"	"3"	2456	Not Applicable	Not Applicable
	"2001"	"2001"	"Wednesday"	"4"	2450	Not Applicable	Not Applicable
	"2001"	"2001"	"Thursday"	"5"	2528	Not Applicable	Not Applicable
	"2001"	"2001"	"Friday"	"6"	2743	Not Applicable	Not Applicable
	"2001"	"2001"	"Saturday"	"7"	3194	Not Applicable	Not Applicable
	"2001"	"2001"	"Unknown"	"9"	0	Not Applicable	Not Applicable
"Total"	"2001"	"2001"			18918	Not Applicable	Not Applicable
	"2002"	"2002"	"Sunday"	"1"	3555	Not Applicable	Not Applicable
	"2002"	"2002"	"Monday"	"2"	3071	Not Applicable	Not Applicable
	"2002"	"2002"	"Tuesday"	"3"	3155	Not Applicable	Not Applicable
	"2002"	"2002"	"Wednesday"	"4"	3041	Not Applicable	Not Applicable
	"2002"	"2002"	"Thursday"	"5"	3137	Not Applicable	Not Applicable
	"2002"	"2002"	"Friday"	"6"	3325	Not Applicable	Not Applicable
	"2002"	"2002"	"Saturday"	"7"	3741	Not Applicable	Not Applicable
	"2002"	"2002"	"Unknown"	"9"	1	Not Applicable	Not Applicable
"Total"	"2002"	"2002"			23026	Not Applicable	Not Applicable
	"2003"	"2003"	"Sunday"	"1"	3815	Not Applicable	Not Applicable
	"2003"	"2003"	"Monday"	"2"	3372	Not Applicable	Not Applicable
	"2003"	"2003"	"Tuesday"	"3"	3323	Not Applicable	Not Applicable
	"2003"	"2003"	"Wednesday"	"4"	3496	Not Applicable	Not Applicable
	"2003"	"2003"	"Thursday"	"5"	3522	Not Applicable	Not Applicable
	"2003"	"2003"	"Friday"	"6"	3641	Not Applicable	Not Applicable
	"2003"	"2003"	"Saturday"	"7"	4107	Not Applicable	Not Applicable
	"2003"	"2003"	"Unknown"	"9"	2	Not Applicable	Not Applicable
"Total"	"2003"	"2003"			25278	Not Applicable	Not Applicable
	"2004"	"2004"	"Sunday"	"1"	4138	Not Applicable	Not Applicable
	"2004"	"2004"	"Monday"	"2"	3586	Not Applicable	Not Applicable
	"2004"	"2004"	"Tuesday"	"3"	3433	Not Applicable	Not Applicable
	"2004"	"2004"	"Wednesday"	"4"	3491	Not Applicable	Not Applicable
	"2004"	"2004"	"Thursday"	"5"	3729	Not Applicable	Not Applicable
	"2004"	"2004"	"Friday"	"6"	4055	Not Applicable	Not Applicable
	"2004"	"2004"	"Saturday"	"7"	4488	Not Applicable	Not Applicable
	"2004"	"2004"	"Unknown"	"9"	2	Not Applicable	Not Applicable
"Total"	"2004"	"2004"			26922	Not Applicable	Not Applicable
	"2005"	"2005"	"Sunday"	"1"	4671	Not Applicable	Not Applicable
	"2005"	"2005"	"Monday"	"2"	3847	Not Applicable	Not Applicable
	"2005"	"2005"	"Tuesday"	"3"	3873	Not Applicable	Not Applicable
	"2005"	"2005"	"Wednesday"	"4"	3830	Not Applicable	Not Applicable
	"2005"	"2005"	"Thursday"	"5"	3932	Not Applicable	Not Applicable
	"2005"	"2005"	"Friday"	"6"	4155	Not Applicable	Not Applicable
	"2005"	"2005"	"Saturday"	"7"	4963	Not Applicable	Not Applicable
	"2005"	"2005"	"Unknown"	"9"	2	Not Applicable	Not Applicable
"Total"	"2005"	"2005"			29273	Not Applicable	Not Applicable
	"2006"	"2006"	"Sunday"	"1"	5384	Not Applicable	Not Applicable
	"2006"	"2006"	"Monday"	"2"	4480	Not Applicable	Not Applicable
	"2006"	"2006"	"Tuesday"	"3"	4450	Not Applicable	Not Applicable
