"Notes"	"County"	"County Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"Sunday"	"1"	Suppressed	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Monday"	"2"	Suppressed	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Tuesday"	"3"	10	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Wednesday"	"4"	Suppressed	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Thursday"	"5"	Suppressed	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Friday"	"6"	13	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Saturday"	"7"	14	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Sunday"	"1"	55	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Monday"	"2"	54	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Tuesday"	"3"	57	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Wednesday"	"4"	49	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Thursday"	"5"	50	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Friday"	"6"	69	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Saturday"	"7"	60	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Sunday"	"1"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Monday"	"2"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Tuesday"	"3"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Wednesday"	"4"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Thursday"	"5"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Friday"	"6"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Saturday"	"7"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Sunday"	"1"	Suppressed	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Monday"	"2"	Suppressed	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Tuesday"	"3"	Suppressed	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Wednesday"	"4"	Suppressed	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Thursday"	"5"	Suppressed	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Friday"	"6"	Suppressed	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Saturday"	"7"	Suppressed	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Sunday"	"1"	15	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Monday"	"2"	10	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Tuesday"	"3"	17	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Wednesday"	"4"	17	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Thursday"	"5"	22	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Friday"	"6"	15	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Saturday"	"7"	26	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Sunday"	"1"	Suppressed	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Monday"	"2"	Suppressed	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Tuesday"	"3"	Suppressed	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Wednesday"	"4"	Suppressed	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Thursday"	"5"	Suppressed	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Friday"	"6"	Suppressed	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Saturday"	"7"	Suppressed	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Sunday"	"1"	Suppressed	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Monday"	"2"	Suppressed	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Tuesday"	"3"	Suppressed	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Wednesday"	"4"	Suppressed	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Thursday"	"5"	Suppressed	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Friday"	"6"	Suppressed	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Saturday"	"7"	Suppressed	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"Sunday"	"1"	37	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"Monday"	"2"	21	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"Tuesday"	"3"	23	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"Wednesday"	"4"	22	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"Thursday"	"5"	25	Not Applicable	Not Applicable
