"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Sunday"	"1"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Monday"	"2"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Tuesday"	"3"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Wednesday"	"4"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Thursday"	"5"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Friday"	"6"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Saturday"	"7"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Sunday"	"1"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Monday"	"2"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Tuesday"	"3"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Wednesday"	"4"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Thursday"	"5"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Friday"	"6"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Saturday"	"7"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Sunday"	"1"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Monday"	"2"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Tuesday"	"3"	32	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Wednesday"	"4"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Thursday"	"5"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Friday"	"6"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Saturday"	"7"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2002"	"2002"	"Sunday"	"1"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"2002"	"2002"	"Monday"	"2"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"2002"	"2002"	"Tuesday"	"3"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"2002"	"2002"	"Wednesday"	"4"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"2002"	"2002"	"Thursday"	"5"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"2002"	"2002"	"Friday"	"6"	41	Not Applicable	Not Applicable
	"Alabama"	"01"	"2002"	"2002"	"Saturday"	"7"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"2002"	"2002"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Sunday"	"1"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Monday"	"2"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Tuesday"	"3"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Wednesday"	"4"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Thursday"	"5"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Friday"	"6"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Saturday"	"7"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Sunday"	"1"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Monday"	"2"	45	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Tuesday"	"3"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Wednesday"	"4"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Thursday"	"5"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Friday"	"6"	50	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Saturday"	"7"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2005"	"2005"	"Sunday"	"1"	45	Not Applicable	Not Applicable
	"Alabama"	"01"	"2005"	"2005"	"Monday"	"2"	37	Not Applicable	Not Applicable
	"Alabama"	"01"	"2005"	"2005"	"Tuesday"	"3"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"2005"	"2005"	"Wednesday"	"4"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"2005"	"2005"	"Thursday"	"5"	38	Not Applicable	Not Applicable
	"Alabama"	"01"	"2005"	"2005"	"Friday"	"6"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"2005"	"2005"	"Saturday"	"7"	49	Not Applicable	Not Applicable
	"Alabama"	"01"	"2005"	"2005"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Sunday"	"1"	64	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Monday"	"2"	47	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Tuesday"	"3"	54	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Wednesday"	"4"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Thursday"	"5"	44	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Friday"	"6"	66	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Saturday"	"7"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2007"	"2007"	"Sunday"	"1"	88	Not Applicable	Not Applicable
	"Alabama"	"01"	"2007"	"2007"	"Monday"	"2"	62	Not Applicable	Not Applicable
	"Alabama"	"01"	"2007"	"2007"	"Tuesday"	"3"	62	Not Applicable	Not Applicable
	"Alabama"	"01"	"2007"	"2007"	"Wednesday"	"4"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"2007"	"2007"	"Thursday"	"5"	60	Not Applicable	Not Applicable
	"Alabama"	"01"	"2007"	"2007"	"Friday"	"6"	80	Not Applicable	Not Applicable
	"Alabama"	"01"	"2007"	"2007"	"Saturday"	"7"	97	Not Applicable	Not Applicable
	"Alabama"	"01"	"2007"	"2007"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Sunday"	"1"	73	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Monday"	"2"	67	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Tuesday"	"3"	72	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Wednesday"	"4"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Thursday"	"5"	102	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Friday"	"6"	97	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Saturday"	"7"	110	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2009"	"2009"	"Sunday"	"1"	109	Not Applicable	Not Applicable
	"Alabama"	"01"	"2009"	"2009"	"Monday"	"2"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"2009"	"2009"	"Tuesday"	"3"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"2009"	"2009"	"Wednesday"	"4"	76	Not Applicable	Not Applicable
	"Alabama"	"01"	"2009"	"2009"	"Thursday"	"5"	84	Not Applicable	Not Applicable
	"Alabama"	"01"	"2009"	"2009"	"Friday"	"6"	100	Not Applicable	Not Applicable
	"Alabama"	"01"	"2009"	"2009"	"Saturday"	"7"	102	Not Applicable	Not Applicable
	"Alabama"	"01"	"2009"	"2009"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"Sunday"	"1"	81	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"Monday"	"2"	54	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"Tuesday"	"3"	79	Not Applicable	Not Applicable
