"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	3127	40817084	7.7
	"Alabama"	"01"	"Male"	"M"	4173	38336447	10.9
"Total"	"Alabama"	"01"			7300	79153531	9.2
	"Alaska"	"02"	"Female"	"F"	638	5576479	11.4
	"Alaska"	"02"	"Male"	"M"	897	6042575	14.8
"Total"	"Alaska"	"02"			1535	11619054	13.2
	"Arizona"	"04"	"Female"	"F"	5735	51357896	11.2
	"Arizona"	"04"	"Male"	"M"	9164	50902424	18.0
"Total"	"Arizona"	"04"			14899	102260320	14.6
	"Arkansas"	"05"	"Female"	"F"	2009	24540426	8.2
	"Arkansas"	"05"	"Male"	"M"	2591	23586713	11.0
"Total"	"Arkansas"	"05"			4600	48127139	9.6
	"California"	"06"	"Female"	"F"	21864	310765448	7.0
	"California"	"06"	"Male"	"M"	36725	307716599	11.9
"Total"	"California"	"06"			58589	618482047	9.5
	"Colorado"	"08"	"Female"	"F"	4452	40807583	10.9
	"Colorado"	"08"	"Male"	"M"	6346	41172019	15.4
"Total"	"Colorado"	"08"			10798	81979602	13.2
	"Connecticut"	"09"	"Female"	"F"	2206	30749290	7.2
	"Connecticut"	"09"	"Male"	"M"	4749	29102558	16.3
"Total"	"Connecticut"	"09"			6955	59851848	11.6
	"Delaware"	"10"	"Female"	"F"	708	7568461	9.4
	"Delaware"	"10"	"Male"	"M"	1165	7122032	16.4
"Total"	"Delaware"	"10"			1873	14690493	12.7
	"District of Columbia"	"11"	"Female"	"F"	428	5350921	8.0
	"District of Columbia"	"11"	"Male"	"M"	896	4789566	18.7
"Total"	"District of Columbia"	"11"			1324	10140487	13.1
	"Florida"	"12"	"Female"	"F"	15072	157296044	9.6
	"Florida"	"12"	"Male"	"M"	25246	150362162	16.8
"Total"	"Florida"	"12"			40318	307658206	13.1
	"Georgia"	"13"	"Female"	"F"	5780	80032070	7.2
	"Georgia"	"13"	"Male"	"M"	8216	76762277	10.7
"Total"	"Georgia"	"13"			13996	156794347	8.9
	"Hawaii"	"15"	"Female"	"F"	628	11139975	5.6
	"Hawaii"	"15"	"Male"	"M"	1421	11251853	12.6
"Total"	"Hawaii"	"15"			2049	22391828	9.2
	"Idaho"	"16"	"Female"	"F"	1154	12534222	9.2
	"Idaho"	"16"	"Male"	"M"	1226	12591520	9.7
"Total"	"Idaho"	"16"			2380	25125742	9.5
	"Illinois"	"17"	"Female"	"F"	6622	109883470	6.0
	"Illinois"	"17"	"Male"	"M"	14323	105746017	13.5
"Total"	"Illinois"	"17"			20945	215629487	9.7
	"Indiana"	"18"	"Female"	"F"	4722	54915764	8.6
	"Indiana"	"18"	"Male"	"M"	7328	53123572	13.8
"Total"	"Indiana"	"18"			12050	108039336	11.2
	"Iowa"	"19"	"Female"	"F"	1287	25871605	5.0
	"Iowa"	"19"	"Male"	"M"	1708	25234423	6.8
"Total"	"Iowa"	"19"			2995	51106028	5.9
	"Kansas"	"20"	"Female"	"F"	1736	23945573	7.2
	"Kansas"	"20"	"Male"	"M"	2251	23546932	9.6
"Total"	"Kansas"	"20"			3987	47492505	8.4
	"Kentucky"	"21"	"Female"	"F"	4693	36685684	12.8
	"Kentucky"	"21"	"Male"	"M"	7600	35384003	21.5
"Total"	"Kentucky"	"21"			12293	72069687	17.1
	"Louisiana"	"22"	"Female"	"F"	3492	39380356	8.9
	"Louisiana"	"22"	"Male"	"M"	6169	37435932	16.5
"Total"	"Louisiana"	"22"			9661	76816288	12.6
	"Maine"	"23"	"Female"	"F"	933	11426117	8.2
	"Maine"	"23"	"Male"	"M"	1584	10920472	14.5
"Total"	"Maine"	"23"			2517	22346589	11.3
	"Maryland"	"24"	"Female"	"F"	4082	49633215	8.2
	"Maryland"	"24"	"Male"	"M"	8871	46462597	19.1
"Total"	"Maryland"	"24"			12953	96095812	13.5
	"Massachusetts"	"25"	"Female"	"F"	4584	57106665	8.0
	"Massachusetts"	"25"	"Male"	"M"	9940	53454939	18.6
"Total"	"Massachusetts"	"25"			14524	110561604	13.1
