"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
"Alabama"	"01"	"1999"	"1999"	164	4430141	3.7
"Alabama"	"01"	"2000"	"2000"	190	4447100	4.3
"Alabama"	"01"	"2001"	"2001"	208	4467634	4.7
"Alabama"	"01"	"2002"	"2002"	205	4480089	4.6
"Alabama"	"01"	"2003"	"2003"	187	4503491	4.2
"Alabama"	"01"	"2004"	"2004"	277	4530729	6.1
"Alabama"	"01"	"2005"	"2005"	277	4569805	6.1
"Alabama"	"01"	"2006"	"2006"	390	4628981	8.4
"Alabama"	"01"	"2007"	"2007"	495	4672840	10.6
"Alabama"	"01"	"2008"	"2008"	596	4718206	12.6
"Alabama"	"01"	"2009"	"2009"	623	4757938	13.1
"Alabama"	"01"	"2010"	"2010"	541	4779736	11.3
"Alabama"	"01"	"2011"	"2011"	547	4802740	11.4
"Alabama"	"01"	"2012"	"2012"	561	4822023	11.6
"Alabama"	"01"	"2013"	"2013"	589	4833722	12.2
"Alabama"	"01"	"2014"	"2014"	715	4849377	14.7
"Alabama"	"01"	"2015"	"2015"	735	4858979	15.1
"Alaska"	"02"	"1999"	"1999"	43	624779	6.9
"Alaska"	"02"	"2000"	"2000"	44	626932	7.0
"Alaska"	"02"	"2001"	"2001"	61	633714	9.6
"Alaska"	"02"	"2002"	"2002"	80	642337	12.5
"Alaska"	"02"	"2003"	"2003"	79	648414	12.2
"Alaska"	"02"	"2004"	"2004"	85	659286	12.9
"Alaska"	"02"	"2005"	"2005"	78	666946	11.7
"Alaska"	"02"	"2006"	"2006"	75	675302	11.1
"Alaska"	"02"	"2007"	"2007"	71	680300	10.4
"Alaska"	"02"	"2008"	"2008"	125	687455	18.2
"Alaska"	"02"	"2009"	"2009"	128	698895	18.3
"Alaska"	"02"	"2010"	"2010"	81	710231	11.4
"Alaska"	"02"	"2011"	"2011"	106	722718	14.7
"Alaska"	"02"	"2012"	"2012"	129	731449	17.6
"Alaska"	"02"	"2013"	"2013"	105	735132	14.3
"Alaska"	"02"	"2014"	"2014"	123	736732	16.7
"Alaska"	"02"	"2015"	"2015"	122	738432	16.5
"Arizona"	"04"	"1999"	"1999"	501	5023823	10.0
"Arizona"	"04"	"2000"	"2000"	510	5130632	9.9
"Arizona"	"04"	"2001"	"2001"	543	5273477	10.3
"Arizona"	"04"	"2002"	"2002"	614	5396255	11.4
"Arizona"	"04"	"2003"	"2003"	661	5510364	12.0
"Arizona"	"04"	"2004"	"2004"	732	5652404	13.0
"Arizona"	"04"	"2005"	"2005"	779	5839077	13.3
"Arizona"	"04"	"2006"	"2006"	864	6029141	14.3
"Arizona"	"04"	"2007"	"2007"	927	6167681	15.0
"Arizona"	"04"	"2008"	"2008"	818	6280362	13.0
