"Notes"	"State"	"State Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Sunday"	"1"	1165	Not Applicable	Not Applicable
	"Alabama"	"01"	"Monday"	"2"	917	Not Applicable	Not Applicable
	"Alabama"	"01"	"Tuesday"	"3"	944	Not Applicable	Not Applicable
	"Alabama"	"01"	"Wednesday"	"4"	916	Not Applicable	Not Applicable
	"Alabama"	"01"	"Thursday"	"5"	1036	Not Applicable	Not Applicable
	"Alabama"	"01"	"Friday"	"6"	1192	Not Applicable	Not Applicable
	"Alabama"	"01"	"Saturday"	"7"	1250	Not Applicable	Not Applicable
	"Alabama"	"01"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sunday"	"1"	229	Not Applicable	Not Applicable
	"Alaska"	"02"	"Monday"	"2"	206	Not Applicable	Not Applicable
	"Alaska"	"02"	"Tuesday"	"3"	213	Not Applicable	Not Applicable
	"Alaska"	"02"	"Wednesday"	"4"	219	Not Applicable	Not Applicable
	"Alaska"	"02"	"Thursday"	"5"	216	Not Applicable	Not Applicable
	"Alaska"	"02"	"Friday"	"6"	214	Not Applicable	Not Applicable
	"Alaska"	"02"	"Saturday"	"7"	267	Not Applicable	Not Applicable
	"Alaska"	"02"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sunday"	"1"	2325	Not Applicable	Not Applicable
	"Arizona"	"04"	"Monday"	"2"	2143	Not Applicable	Not Applicable
	"Arizona"	"04"	"Tuesday"	"3"	2037	Not Applicable	Not Applicable
	"Arizona"	"04"	"Wednesday"	"4"	1988	Not Applicable	Not Applicable
	"Arizona"	"04"	"Thursday"	"5"	2104	Not Applicable	Not Applicable
	"Arizona"	"04"	"Friday"	"6"	2100	Not Applicable	Not Applicable
	"Arizona"	"04"	"Saturday"	"7"	2383	Not Applicable	Not Applicable
	"Arizona"	"04"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sunday"	"1"	767	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Monday"	"2"	580	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Tuesday"	"3"	632	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Wednesday"	"4"	622	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Thursday"	"5"	645	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Friday"	"6"	723	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Saturday"	"7"	711	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Sunday"	"1"	8762	Not Applicable	Not Applicable
	"California"	"06"	"Monday"	"2"	8471	Not Applicable	Not Applicable
	"California"	"06"	"Tuesday"	"3"	8255	Not Applicable	Not Applicable
	"California"	"06"	"Wednesday"	"4"	8224	Not Applicable	Not Applicable
	"California"	"06"	"Thursday"	"5"	8183	Not Applicable	Not Applicable
	"California"	"06"	"Friday"	"6"	8588	Not Applicable	Not Applicable
	"California"	"06"	"Saturday"	"7"	8944	Not Applicable	Not Applicable
	"California"	"06"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Colorado"	"08"	"Sunday"	"1"	1736	Not Applicable	Not Applicable
	"Colorado"	"08"	"Monday"	"2"	1564	Not Applicable	Not Applicable
	"Colorado"	"08"	"Tuesday"	"3"	1489	Not Applicable	Not Applicable
	"Colorado"	"08"	"Wednesday"	"4"	1462	Not Applicable	Not Applicable
	"Colorado"	"08"	"Thursday"	"5"	1502	Not Applicable	Not Applicable
	"Colorado"	"08"	"Friday"	"6"	1493	Not Applicable	Not Applicable
	"Colorado"	"08"	"Saturday"	"7"	1739	Not Applicable	Not Applicable
	"Colorado"	"08"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Sunday"	"1"	1016	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Monday"	"2"	972	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Tuesday"	"3"	919	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Wednesday"	"4"	932	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Thursday"	"5"	964	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Friday"	"6"	1047	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Saturday"	"7"	1203	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"Sunday"	"1"	287	Not Applicable	Not Applicable
	"Delaware"	"10"	"Monday"	"2"	221	Not Applicable	Not Applicable
	"Delaware"	"10"	"Tuesday"	"3"	252	Not Applicable	Not Applicable
	"Delaware"	"10"	"Wednesday"	"4"	238	Not Applicable	Not Applicable
	"Delaware"	"10"	"Thursday"	"5"	271	Not Applicable	Not Applicable
	"Delaware"	"10"	"Friday"	"6"	298	Not Applicable	Not Applicable
	"Delaware"	"10"	"Saturday"	"7"	322	Not Applicable	Not Applicable
	"Delaware"	"10"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Sunday"	"1"	177	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Monday"	"2"	179	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Tuesday"	"3"	188	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Wednesday"	"4"	171	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Thursday"	"5"	199	Not Applicable	Not Applicable
