"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"Female"	"F"	28	444143	6.3
	"Autauga County, AL"	"01001"	"Male"	"M"	35	420616	8.3
	"Baldwin County, AL"	"01003"	"Female"	"F"	159	1480239	10.7
	"Baldwin County, AL"	"01003"	"Male"	"M"	241	1415411	17.0
	"Barbour County, AL"	"01005"	"Female"	"F"	Suppressed	223977	Suppressed
	"Barbour County, AL"	"01005"	"Male"	"M"	Suppressed	249663	Suppressed
	"Bibb County, AL"	"01007"	"Female"	"F"	14	176870	Unreliable
	"Bibb County, AL"	"01007"	"Male"	"M"	27	197967	13.6
	"Blount County, AL"	"01009"	"Female"	"F"	60	473419	12.7
	"Blount County, AL"	"01009"	"Male"	"M"	63	466653	13.5
	"Bullock County, AL"	"01011"	"Female"	"F"	Suppressed	86494	Suppressed
	"Bullock County, AL"	"01011"	"Male"	"M"	Suppressed	100728	Suppressed
	"Butler County, AL"	"01013"	"Female"	"F"	Suppressed	187922	Suppressed
	"Butler County, AL"	"01013"	"Male"	"M"	11	165701	Unreliable
	"Calhoun County, AL"	"01015"	"Female"	"F"	76	1017184	7.5
	"Calhoun County, AL"	"01015"	"Male"	"M"	106	942683	11.2
	"Chambers County, AL"	"01017"	"Female"	"F"	15	311534	Unreliable
	"Chambers County, AL"	"01017"	"Male"	"M"	31	283555	10.9
	"Cherokee County, AL"	"01019"	"Female"	"F"	21	216926	9.7
	"Cherokee County, AL"	"01019"	"Male"	"M"	29	212436	13.7
	"Chilton County, AL"	"01021"	"Female"	"F"	36	364278	9.9
	"Chilton County, AL"	"01021"	"Male"	"M"	60	354720	16.9
	"Choctaw County, AL"	"01023"	"Female"	"F"	Suppressed	128324	Suppressed
	"Choctaw County, AL"	"01023"	"Male"	"M"	Suppressed	117004	Suppressed
	"Clarke County, AL"	"01025"	"Female"	"F"	10	236222	Unreliable
	"Clarke County, AL"	"01025"	"Male"	"M"	Suppressed	212295	Suppressed
	"Clay County, AL"	"01027"	"Female"	"F"	Suppressed	121157	Suppressed
	"Clay County, AL"	"01027"	"Male"	"M"	Suppressed	116354	Suppressed
	"Cleburne County, AL"	"01029"	"Female"	"F"	12	125028	Unreliable
	"Cleburne County, AL"	"01029"	"Male"	"M"	13	123777	Unreliable
	"Coffee County, AL"	"01031"	"Female"	"F"	18	409029	Unreliable
	"Coffee County, AL"	"01031"	"Male"	"M"	27	397297	6.8
	"Colbert County, AL"	"01033"	"Female"	"F"	16	481399	Unreliable
	"Colbert County, AL"	"01033"	"Male"	"M"	33	445248	7.4
	"Conecuh County, AL"	"01035"	"Female"	"F"	10	118145	Unreliable
	"Conecuh County, AL"	"01035"	"Male"	"M"	11	109520	Unreliable
	"Coosa County, AL"	"01037"	"Female"	"F"	Suppressed	97010	Suppressed
	"Coosa County, AL"	"01037"	"Male"	"M"	Suppressed	97193	Suppressed
	"Covington County, AL"	"01039"	"Female"	"F"	13	330407	Unreliable
	"Covington County, AL"	"01039"	"Male"	"M"	17	307585	Unreliable
	"Crenshaw County, AL"	"01041"	"Female"	"F"	Suppressed	122208	Suppressed
	"Crenshaw County, AL"	"01041"	"Male"	"M"	Suppressed	113086	Suppressed
	"Cullman County, AL"	"01043"	"Female"	"F"	56	681510	8.2
	"Cullman County, AL"	"01043"	"Male"	"M"	78	667107	11.7
	"Dale County, AL"	"01045"	"Female"	"F"	38	425455	8.9
	"Dale County, AL"	"01045"	"Male"	"M"	30	416891	7.2
	"Dallas County, AL"	"01047"	"Female"	"F"	13	405357	Unreliable
	"Dallas County, AL"	"01047"	"Male"	"M"	19	345033	Unreliable
	"DeKalb County, AL"	"01049"	"Female"	"F"	71	592275	12.0
	"DeKalb County, AL"	"01049"	"Male"	"M"	63	574702	11.0
	"Elmore County, AL"	"01051"	"Female"	"F"	22	644623	3.4
	"Elmore County, AL"	"01051"	"Male"	"M"	39	628109	6.2
	"Escambia County, AL"	"01053"	"Female"	"F"	57	316358	18.0
	"Escambia County, AL"	"01053"	"Male"	"M"	72	329363	21.9
	"Etowah County, AL"	"01055"	"Female"	"F"	89	912691	9.8
	"Etowah County, AL"	"01055"	"Male"	"M"	119	849523	14.0
	"Fayette County, AL"	"01057"	"Female"	"F"	17	152854	Unreliable
	"Fayette County, AL"	"01057"	"Male"	"M"	16	147118	Unreliable
	"Franklin County, AL"	"01059"	"Female"	"F"	37	268444	13.8
	"Franklin County, AL"	"01059"	"Male"	"M"	36	263997	13.6
	"Geneva County, AL"	"01061"	"Female"	"F"	13	228525	Unreliable
	"Geneva County, AL"	"01061"	"Male"	"M"	13	218041	Unreliable
	"Greene County, AL"	"01063"	"Female"	"F"	Suppressed	83354	Suppressed
	"Greene County, AL"	"01063"	"Male"	"M"	Suppressed	75454	Suppressed
	"Hale County, AL"	"01065"	"Female"	"F"	Suppressed	144168	Suppressed
	"Hale County, AL"	"01065"	"Male"	"M"	Suppressed	133103	Suppressed
	"Henry County, AL"	"01067"	"Female"	"F"	Suppressed	149888	Suppressed
	"Henry County, AL"	"01067"	"Male"	"M"	10	137504	Unreliable
	"Houston County, AL"	"01069"	"Female"	"F"	63	859961	7.3
	"Houston County, AL"	"01069"	"Male"	"M"	78	786937	9.9
	"Jackson County, AL"	"01071"	"Female"	"F"	34	462643	7.3
	"Jackson County, AL"	"01071"	"Male"	"M"	37	444413	8.3
	"Jefferson County, AL"	"01073"	"Female"	"F"	542	5904656	9.2
	"Jefferson County, AL"	"01073"	"Male"	"M"	750	5290458	14.2
	"Lamar County, AL"	"01075"	"Female"	"F"	Suppressed	130019	Suppressed
	"Lamar County, AL"	"01075"	"Male"	"M"	10	122741	Unreliable
	"Lauderdale County, AL"	"01077"	"Female"	"F"	53	803149	6.6
	"Lauderdale County, AL"	"01077"	"Male"	"M"	66	736668	9.0
	"Lawrence County, AL"	"01079"	"Female"	"F"	23	297208	7.7
