"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	78	2293259	3.4
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	91	2136882	4.3
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	93	2300596	4.0
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	104	2146504	4.8
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	96	2309496	4.2
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	120	2158138	5.6
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	93	2314370	4.0
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	118	2165719	5.4
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	78	2324069	3.4
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	119	2179422	5.5
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	112	2337857	4.8
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	171	2192872	7.8
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	99	2356423	4.2
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	184	2213382	8.3
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	159	2385480	6.7
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	239	2243501	10.7
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	216	2407275	9.0
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	295	2265565	13.0
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	281	2430257	11.6
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	326	2287949	14.2
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	289	2448159	11.8
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	341	2309779	14.8
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	240	2459548	9.8
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	307	2320188	13.2
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	243	2473249	9.8
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	309	2329491	13.3
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	227	2483466	9.1
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	335	2338557	14.3
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	260	2488375	10.4
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	338	2345347	14.4
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	327	2499410	13.1
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	396	2349967	16.9
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	307	2505795	12.3
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	429	2353184	18.2
	"Alaska"	"02"	"1999"	"1999"	"Female"	"F"	23	301266	7.6
	"Alaska"	"02"	"1999"	"1999"	"Male"	"M"	23	323513	7.1
	"Alaska"	"02"	"2000"	"2000"	"Female"	"F"	24	302820	7.9
	"Alaska"	"02"	"2000"	"2000"	"Male"	"M"	24	324112	7.4
	"Alaska"	"02"	"2001"	"2001"	"Female"	"F"	30	305579	9.8
	"Alaska"	"02"	"2001"	"2001"	"Male"	"M"	32	328135	9.8
	"Alaska"	"02"	"2002"	"2002"	"Female"	"F"	36	309633	11.6
	"Alaska"	"02"	"2002"	"2002"	"Male"	"M"	48	332704	14.4
	"Alaska"	"02"	"2003"	"2003"	"Female"	"F"	40	313034	12.8
	"Alaska"	"02"	"2003"	"2003"	"Male"	"M"	43	335380	12.8
	"Alaska"	"02"	"2004"	"2004"	"Female"	"F"	46	317807	14.5
	"Alaska"	"02"	"2004"	"2004"	"Male"	"M"	40	341479	11.7
	"Alaska"	"02"	"2005"	"2005"	"Female"	"F"	34	320920	10.6
	"Alaska"	"02"	"2005"	"2005"	"Male"	"M"	45	346026	13.0
	"Alaska"	"02"	"2006"	"2006"	"Female"	"F"	27	325121	8.3
	"Alaska"	"02"	"2006"	"2006"	"Male"	"M"	49	350181	14.0
	"Alaska"	"02"	"2007"	"2007"	"Female"	"F"	30	327138	9.2
	"Alaska"	"02"	"2007"	"2007"	"Male"	"M"	42	353162	11.9
	"Alaska"	"02"	"2008"	"2008"	"Female"	"F"	44	329412	13.4
	"Alaska"	"02"	"2008"	"2008"	"Male"	"M"	83	358043	23.2
	"Alaska"	"02"	"2009"	"2009"	"Female"	"F"	53	337002	15.7
	"Alaska"	"02"	"2009"	"2009"	"Male"	"M"	78	361893	21.6
	"Alaska"	"02"	"2010"	"2010"	"Female"	"F"	39	340603	11.5
	"Alaska"	"02"	"2010"	"2010"	"Male"	"M"	44	369628	11.9
	"Alaska"	"02"	"2011"	"2011"	"Female"	"F"	43	347526	12.4
	"Alaska"	"02"	"2011"	"2011"	"Male"	"M"	64	375192	17.1
	"Alaska"	"02"	"2012"	"2012"	"Female"	"F"	55	350211	15.7
	"Alaska"	"02"	"2012"	"2012"	"Male"	"M"	74	381238	19.4
	"Alaska"	"02"	"2013"	"2013"	"Female"	"F"	35	349564	10.0
	"Alaska"	"02"	"2013"	"2013"	"Male"	"M"	70	385568	18.2
	"Alaska"	"02"	"2014"	"2014"	"Female"	"F"	54	349436	15.5
	"Alaska"	"02"	"2014"	"2014"	"Male"	"M"	70	387296	18.1
	"Alaska"	"02"	"2015"	"2015"	"Female"	"F"	45	349407	12.9
	"Alaska"	"02"	"2015"	"2015"	"Male"	"M"	77	389025	19.8
	"Arizona"	"04"	"1999"	"1999"	"Female"	"F"	143	2518299	5.7
	"Arizona"	"04"	"1999"	"1999"	"Male"	"M"	368	2505524	14.7
	"Arizona"	"04"	"2000"	"2000"	"Female"	"F"	151	2569575	5.9
	"Arizona"	"04"	"2000"	"2000"	"Male"	"M"	371	2561057	14.5
	"Arizona"	"04"	"2001"	"2001"	"Female"	"F"	174	2641676	6.6
	"Arizona"	"04"	"2001"	"2001"	"Male"	"M"	378	2631801	14.4
	"Arizona"	"04"	"2002"	"2002"	"Female"	"F"	207	2704217	7.7
	"Arizona"	"04"	"2002"	"2002"	"Male"	"M"	417	2692038	15.5
	"Arizona"	"04"	"2003"	"2003"	"Female"	"F"	244	2764077	8.8
	"Arizona"	"04"	"2003"	"2003"	"Male"	"M"	430	2746287	15.7
	"Arizona"	"04"	"2004"	"2004"	"Female"	"F"	267	2835606	9.4
	"Arizona"	"04"	"2004"	"2004"	"Male"	"M"	477	2816798	16.9
	"Arizona"	"04"	"2005"	"2005"	"Female"	"F"	318	2930811	10.9
	"Arizona"	"04"	"2005"	"2005"	"Male"	"M"	476	2908266	16.4
	"Arizona"	"04"	"2006"	"2006"	"Female"	"F"	334	3026134	11.0
	"Arizona"	"04"	"2006"	"2006"	"Male"	"M"	542	3003007	18.0
	"Arizona"	"04"	"2007"	"2007"	"Female"	"F"	352	3096998	11.4
	"Arizona"	"04"	"2007"	"2007"	"Male"	"M"	591	3070683	19.2
	"Arizona"	"04"	"2008"	"2008"	"Female"	"F"	335	3155278	10.6
	"Arizona"	"04"	"2008"	"2008"	"Male"	"M"	493	3125084	15.8
	"Arizona"	"04"	"2009"	"2009"	"Female"	"F"	403	3189908	12.6
	"Arizona"	"04"	"2009"	"2009"	"Male"	"M"	599	3153246	19.0
	"Arizona"	"04"	"2010"	"2010"	"Female"	"F"	467	3216194	14.5
	"Arizona"	"04"	"2010"	"2010"	"Male"	"M"	631	3175823	19.9
	"Arizona"	"04"	"2011"	"2011"	"Female"	"F"	471	3258634	14.5
	"Arizona"	"04"	"2011"	"2011"	"Male"	"M"	600	3223871	18.6
	"Arizona"	"04"	"2012"	"2012"	"Female"	"F"	468	3294772	14.2
	"Arizona"	"04"	"2012"	"2012"	"Male"	"M"	666	3258483	20.4
	"Arizona"	"04"	"2013"	"2013"	"Female"	"F"	512	3331505	15.4
	"Arizona"	"04"	"2013"	"2013"	"Male"	"M"	710	3295119	21.5
	"Arizona"	"04"	"2014"	"2014"	"Female"	"F"	491	3387637	14.5
	"Arizona"	"04"	"2014"	"2014"	"Male"	"M"	720	3343847	21.5
	"Arizona"	"04"	"2015"	"2015"	"Female"	"F"	516	3436575	15.0
	"Arizona"	"04"	"2015"	"2015"	"Male"	"M"	758	3391490	22.4
	"Arkansas"	"05"	"1999"	"1999"	"Female"	"F"	49	1359445	3.6
	"Arkansas"	"05"	"1999"	"1999"	"Male"	"M"	64	1292415	5.0
	"Arkansas"	"05"	"2000"	"2000"	"Female"	"F"	53	1368707	3.9
	"Arkansas"	"05"	"2000"	"2000"	"Male"	"M"	87	1304693	6.7
	"Arkansas"	"05"	"2001"	"2001"	"Female"	"F"	46	1376845	3.3
	"Arkansas"	"05"	"2001"	"2001"	"Male"	"M"	80	1314726	6.1
	"Arkansas"	"05"	"2002"	"2002"	"Female"	"F"	85	1383239	6.1
	"Arkansas"	"05"	"2002"	"2002"	"Male"	"M"	91	1322688	6.9
	"Arkansas"	"05"	"2003"	"2003"	"Female"	"F"	78	1391523	5.6
	"Arkansas"	"05"	"2003"	"2003"	"Male"	"M"	106	1333293	8.0
	"Arkansas"	"05"	"2004"	"2004"	"Female"	"F"	108	1403048	7.7
	"Arkansas"	"05"	"2004"	"2004"	"Male"	"M"	122	1346638	9.1
	"Arkansas"	"05"	"2005"	"2005"	"Female"	"F"	118	1418295	8.3
	"Arkansas"	"05"	"2005"	"2005"	"Male"	"M"	151	1362802	11.1
	"Arkansas"	"05"	"2006"	"2006"	"Female"	"F"	113	1438428	7.9
	"Arkansas"	"05"	"2006"	"2006"	"Male"	"M"	172	1383333	12.4
	"Arkansas"	"05"	"2007"	"2007"	"Female"	"F"	132	1451358	9.1
	"Arkansas"	"05"	"2007"	"2007"	"Male"	"M"	169	1397292	12.1
	"Arkansas"	"05"	"2008"	"2008"	"Female"	"F"	165	1464220	11.3
	"Arkansas"	"05"	"2008"	"2008"	"Male"	"M"	195	1410334	13.8
	"Arkansas"	"05"	"2009"	"2009"	"Female"	"F"	153	1475013	10.4
	"Arkansas"	"05"	"2009"	"2009"	"Male"	"M"	198	1421830	13.9
	"Arkansas"	"05"	"2010"	"2010"	"Female"	"F"	159	1484281	10.7
	"Arkansas"	"05"	"2010"	"2010"	"Male"	"M"	191	1431637	13.3
	"Arkansas"	"05"	"2011"	"2011"	"Female"	"F"	142	1495200	9.5
	"Arkansas"	"05"	"2011"	"2011"	"Male"	"M"	213	1442779	14.8
	"Arkansas"	"05"	"2012"	"2012"	"Female"	"F"	179	1500641	11.9
	"Arkansas"	"05"	"2012"	"2012"	"Male"	"M"	194	1448490	13.4
	"Arkansas"	"05"	"2013"	"2013"	"Female"	"F"	138	1505782	9.2
	"Arkansas"	"05"	"2013"	"2013"	"Male"	"M"	181	1453591	12.5
	"Arkansas"	"05"	"2014"	"2014"	"Female"	"F"	156	1509053	10.3
	"Arkansas"	"05"	"2014"	"2014"	"Male"	"M"	200	1457316	13.7
	"Arkansas"	"05"	"2015"	"2015"	"Female"	"F"	184	1515348	12.1
	"Arkansas"	"05"	"2015"	"2015"	"Male"	"M"	208	1462856	14.2
	"California"	"06"	"1999"	"1999"	"Female"	"F"	838	16800161	5.0
	"California"	"06"	"1999"	"1999"	"Male"	"M"	1824	16699043	10.9
	"California"	"06"	"2000"	"2000"	"Female"	"F"	600	16996756	3.5
	"California"	"06"	"2000"	"2000"	"Male"	"M"	1341	16874892	7.9
	"California"	"06"	"2001"	"2001"	"Female"	"F"	414	17294223	2.4
	"California"	"06"	"2001"	"2001"	"Male"	"M"	812	17185235	4.7
	"California"	"06"	"2002"	"2002"	"Female"	"F"	1117	17498462	6.4
	"California"	"06"	"2002"	"2002"	"Male"	"M"	1858	17373381	10.7
	"California"	"06"	"2003"	"2003"	"Female"	"F"	1155	17709509	6.5
	"California"	"06"	"2003"	"2003"	"Male"	"M"	1953	17543650	11.1
	"California"	"06"	"2004"	"2004"	"Female"	"F"	1241	17871415	6.9
	"California"	"06"	"2004"	"2004"	"Male"	"M"	1884	17703161	10.6
	"California"	"06"	"2005"	"2005"	"Female"	"F"	1232	17996230	6.8
	"California"	"06"	"2005"	"2005"	"Male"	"M"	1982	17831713	11.1
	"California"	"06"	"2006"	"2006"	"Female"	"F"	1321	18097471	7.3
	"California"	"06"	"2006"	"2006"	"Male"	"M"	2173	17923731	12.1
	"California"	"06"	"2007"	"2007"	"Female"	"F"	1502	18214926	8.2
	"California"	"06"	"2007"	"2007"	"Male"	"M"	2352	18035385	13.0
	"California"	"06"	"2008"	"2008"	"Female"	"F"	1513	18396972	8.2
	"California"	"06"	"2008"	"2008"	"Male"	"M"	2350	18207365	12.9
	"California"	"06"	"2009"	"2009"	"Female"	"F"	1595	18583075	8.6
	"California"	"06"	"2009"	"2009"	"Male"	"M"	2461	18378154	13.4
	"California"	"06"	"2010"	"2010"	"Female"	"F"	1619	18736126	8.6
	"California"	"06"	"2010"	"2010"	"Male"	"M"	2438	18517830	13.2
	"California"	"06"	"2011"	"2011"	"Female"	"F"	1628	18943585	8.6
	"California"	"06"	"2011"	"2011"	"Male"	"M"	2552	18748327	13.6
	"California"	"06"	"2012"	"2012"	"Female"	"F"	1533	19122866	8.0
	"California"	"06"	"2012"	"2012"	"Male"	"M"	2507	18918564	13.3
	"California"	"06"	"2013"	"2013"	"Female"	"F"	1690	19268325	8.8
	"California"	"06"	"2013"	"2013"	"Male"	"M"	2762	19064196	14.5
	"California"	"06"	"2014"	"2014"	"Female"	"F"	1668	19533596	8.5
	"California"	"06"	"2014"	"2014"	"Male"	"M"	2853	19268904	14.8
	"California"	"06"	"2015"	"2015"	"Female"	"F"	1715	19701750	8.7
	"California"	"06"	"2015"	"2015"	"Male"	"M"	2944	19443068	15.1
	"Colorado"	"08"	"1999"	"1999"	"Female"	"F"	131	2101358	6.2
	"Colorado"	"08"	"1999"	"1999"	"Male"	"M"	218	2124660	10.3
	"Colorado"	"08"	"2000"	"2000"	"Female"	"F"	122	2135278	5.7
	"Colorado"	"08"	"2000"	"2000"	"Male"	"M"	230	2165983	10.6
	"Colorado"	"08"	"2001"	"2001"	"Female"	"F"	160	2195705	7.3
	"Colorado"	"08"	"2001"	"2001"	"Male"	"M"	251	2229982	11.3
	"Colorado"	"08"	"2002"	"2002"	"Female"	"F"	178	2228665	8.0
	"Colorado"	"08"	"2002"	"2002"	"Male"	"M"	270	2261741	11.9
	"Colorado"	"08"	"2003"	"2003"	"Female"	"F"	194	2253214	8.6
	"Colorado"	"08"	"2003"	"2003"	"Male"	"M"	308	2275518	13.5
	"Colorado"	"08"	"2004"	"2004"	"Female"	"F"	195	2274511	8.6
	"Colorado"	"08"	"2004"	"2004"	"Male"	"M"	323	2300502	14.0
	"Colorado"	"08"	"2005"	"2005"	"Female"	"F"	213	2308238	9.2
	"Colorado"	"08"	"2005"	"2005"	"Male"	"M"	395	2323650	17.0
	"Colorado"	"08"	"2006"	"2006"	"Female"	"F"	260	2352960	11.0
	"Colorado"	"08"	"2006"	"2006"	"Male"	"M"	367	2367463	15.5
	"Colorado"	"08"	"2007"	"2007"	"Female"	"F"	322	2396433	13.4
	"Colorado"	"08"	"2007"	"2007"	"Male"	"M"	412	2407435	17.1
	"Colorado"	"08"	"2008"	"2008"	"Female"	"F"	309	2439060	12.7
	"Colorado"	"08"	"2008"	"2008"	"Male"	"M"	440	2450670	18.0
	"Colorado"	"08"	"2009"	"2009"	"Female"	"F"	327	2480710	13.2
	"Colorado"	"08"	"2009"	"2009"	"Male"	"M"	442	2491485	17.7
	"Colorado"	"08"	"2010"	"2010"	"Female"	"F"	293	2508534	11.7
	"Colorado"	"08"	"2010"	"2010"	"Male"	"M"	361	2520662	14.3
	"Colorado"	"08"	"2011"	"2011"	"Female"	"F"	375	2549601	14.7
	"Colorado"	"08"	"2011"	"2011"	"Male"	"M"	468	2567195	18.2
	"Colorado"	"08"	"2012"	"2012"	"Female"	"F"	385	2583877	14.9
	"Colorado"	"08"	"2012"	"2012"	"Male"	"M"	422	2603705	16.2
	"Colorado"	"08"	"2013"	"2013"	"Female"	"F"	380	2621921	14.5
	"Colorado"	"08"	"2013"	"2013"	"Male"	"M"	466	2646446	17.6
	"Colorado"	"08"	"2014"	"2014"	"Female"	"F"	371	2664707	13.9
	"Colorado"	"08"	"2014"	"2014"	"Male"	"M"	528	2691159	19.6
	"Colorado"	"08"	"2015"	"2015"	"Female"	"F"	349	2712811	12.9
	"Colorado"	"08"	"2015"	"2015"	"Male"	"M"	520	2743763	19.0
	"Connecticut"	"09"	"1999"	"1999"	"Female"	"F"	91	1747148	5.2
	"Connecticut"	"09"	"1999"	"1999"	"Male"	"M"	219	1639253	13.4
	"Connecticut"	"09"	"2000"	"2000"	"Female"	"F"	77	1756246	4.4
	"Connecticut"	"09"	"2000"	"2000"	"Male"	"M"	243	1649319	14.7
	"Connecticut"	"09"	"2001"	"2001"	"Female"	"F"	101	1768959	5.7
	"Connecticut"	"09"	"2001"	"2001"	"Male"	"M"	206	1663876	12.4
	"Connecticut"	"09"	"2002"	"2002"	"Female"	"F"	109	1780500	6.1
	"Connecticut"	"09"	"2002"	"2002"	"Male"	"M"	245	1678249	14.6
	"Connecticut"	"09"	"2003"	"2003"	"Female"	"F"	98	1793468	5.5
	"Connecticut"	"09"	"2003"	"2003"	"Male"	"M"	209	1690868	12.4
	"Connecticut"	"09"	"2004"	"2004"	"Female"	"F"	112	1798078	6.2
	"Connecticut"	"09"	"2004"	"2004"	"Male"	"M"	221	1698016	13.0
	"Connecticut"	"09"	"2005"	"2005"	"Female"	"F"	91	1802068	5.0
	"Connecticut"	"09"	"2005"	"2005"	"Male"	"M"	204	1704888	12.0
	"Connecticut"	"09"	"2006"	"2006"	"Female"	"F"	123	1807675	6.8
	"Connecticut"	"09"	"2006"	"2006"	"Male"	"M"	284	1709785	16.6
	"Connecticut"	"09"	"2007"	"2007"	"Female"	"F"	148	1811617	8.2
	"Connecticut"	"09"	"2007"	"2007"	"Male"	"M"	285	1715653	16.6
	"Connecticut"	"09"	"2008"	"2008"	"Female"	"F"	138	1820749	7.6
	"Connecticut"	"09"	"2008"	"2008"	"Male"	"M"	248	1724830	14.4
	"Connecticut"	"09"	"2009"	"2009"	"Female"	"F"	133	1828779	7.3
	"Connecticut"	"09"	"2009"	"2009"	"Male"	"M"	260	1733028	15.0
	"Connecticut"	"09"	"2010"	"2010"	"Female"	"F"	125	1834483	6.8
	"Connecticut"	"09"	"2010"	"2010"	"Male"	"M"	238	1739614	13.7
	"Connecticut"	"09"	"2011"	"2011"	"Female"	"F"	133	1835893	7.2
	"Connecticut"	"09"	"2011"	"2011"	"Male"	"M"	269	1744816	15.4
	"Connecticut"	"09"	"2012"	"2012"	"Female"	"F"	148	1840431	8.0
	"Connecticut"	"09"	"2012"	"2012"	"Male"	"M"	291	1749916	16.6
	"Connecticut"	"09"	"2013"	"2013"	"Female"	"F"	179	1841929	9.7
	"Connecticut"	"09"	"2013"	"2013"	"Male"	"M"	403	1754151	23.0
	"Connecticut"	"09"	"2014"	"2014"	"Female"	"F"	217	1842128	11.8
	"Connecticut"	"09"	"2014"	"2014"	"Male"	"M"	406	1754549	23.1
	"Connecticut"	"09"	"2015"	"2015"	"Female"	"F"	236	1839139	12.8
	"Connecticut"	"09"	"2015"	"2015"	"Male"	"M"	564	1751747	32.2
	"Delaware"	"10"	"1999"	"1999"	"Female"	"F"	15	398732	Unreliable
	"Delaware"	"10"	"1999"	"1999"	"Male"	"M"	35	376258	9.3
	"Delaware"	"10"	"2000"	"2000"	"Female"	"F"	24	403059	6.0
	"Delaware"	"10"	"2000"	"2000"	"Male"	"M"	31	380541	8.1
	"Delaware"	"10"	"2001"	"2001"	"Female"	"F"	22	409349	5.4
	"Delaware"	"10"	"2001"	"2001"	"Male"	"M"	42	386350	10.9
	"Delaware"	"10"	"2002"	"2002"	"Female"	"F"	23	414652	5.5
	"Delaware"	"10"	"2002"	"2002"	"Male"	"M"	61	391517	15.6
	"Delaware"	"10"	"2003"	"2003"	"Female"	"F"	20	420802	4.8
	"Delaware"	"10"	"2003"	"2003"	"Male"	"M"	57	397201	14.4
	"Delaware"	"10"	"2004"	"2004"	"Female"	"F"	26	427320	6.1
	"Delaware"	"10"	"2004"	"2004"	"Male"	"M"	37	403483	9.2
	"Delaware"	"10"	"2005"	"2005"	"Female"	"F"	19	435227	Unreliable
	"Delaware"	"10"	"2005"	"2005"	"Male"	"M"	43	409923	10.5
