"Notes"	"State"	"State Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Medical Facility - Inpatient"	"1"	938	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medical Facility - Outpatient or ER"	"2"	945	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medical Facility - Dead on Arrival"	"3"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Decedent's home"	"4"	3844	Not Applicable	Not Applicable
	"Alabama"	"01"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nursing home/long term care"	"6"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Other"	"7"	1552	Not Applicable	Not Applicable
	"Alabama"	"01"	"Place of death unknown"	"9"	26	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medical Facility - Inpatient"	"1"	147	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medical Facility - Outpatient or ER"	"2"	185	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Decedent's home"	"4"	953	Not Applicable	Not Applicable
	"Alaska"	"02"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Other"	"7"	265	Not Applicable	Not Applicable
	"Alaska"	"02"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medical Facility - Inpatient"	"1"	1572	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medical Facility - Outpatient or ER"	"2"	2256	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medical Facility - Dead on Arrival"	"3"	65	Not Applicable	Not Applicable
	"Arizona"	"04"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"Decedent's home"	"4"	7988	Not Applicable	Not Applicable
	"Arizona"	"04"	"Hospice facility"	"5"	84	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nursing home/long term care"	"6"	167	Not Applicable	Not Applicable
	"Arizona"	"04"	"Other"	"7"	2911	Not Applicable	Not Applicable
	"Arizona"	"04"	"Place of death unknown"	"9"	30	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Medical Facility - Inpatient"	"1"	652	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Medical Facility - Outpatient or ER"	"2"	702	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Medical Facility - Dead on Arrival"	"3"	84	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Decedent's home"	"4"	2552	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Hospice facility"	"5"	21	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nursing home/long term care"	"6"	20	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Other"	"7"	644	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Medical Facility - Inpatient"	"1"	6181	Not Applicable	Not Applicable
	"California"	"06"	"Medical Facility - Outpatient or ER"	"2"	9298	Not Applicable	Not Applicable
	"California"	"06"	"Medical Facility - Dead on Arrival"	"3"	112	Not Applicable	Not Applicable
	"California"	"06"	"Medical Facility - Status unknown"	"10"	30	Not Applicable	Not Applicable
	"California"	"06"	"Decedent's home"	"4"	30498	Not Applicable	Not Applicable
	"California"	"06"	"Hospice facility"	"5"	30	Not Applicable	Not Applicable
	"California"	"06"	"Nursing home/long term care"	"6"	238	Not Applicable	Not Applicable
	"California"	"06"	"Other"	"7"	12978	Not Applicable	Not Applicable
	"California"	"06"	"Place of death unknown"	"9"	62	Not Applicable	Not Applicable
	"Colorado"	"08"	"Medical Facility - Inpatient"	"1"	1093	Not Applicable	Not Applicable
	"Colorado"	"08"	"Medical Facility - Outpatient or ER"	"2"	1106	Not Applicable	Not Applicable
	"Colorado"	"08"	"Medical Facility - Dead on Arrival"	"3"	48	Not Applicable	Not Applicable
	"Colorado"	"08"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Colorado"	"08"	"Decedent's home"	"4"	6756	Not Applicable	Not Applicable
	"Colorado"	"08"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
