"Notes"	"HHS Region"	"HHS Region Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"1999"	"1999"	1006	13837653	7.3
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2000"	"2000"	999	13922517	7.2
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2001"	"2001"	1314	14041043	9.4
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2002"	"2002"	1455	14122441	10.3
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2003"	"2003"	1601	14182454	11.3
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2004"	"2004"	1422	14206683	10.0
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2005"	"2005"	1589	14216656	11.2
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2006"	"2006"	1935	14245540	13.6
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2007"	"2007"	1901	14279205	13.3
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2008"	"2008"	1718	14340115	12.0
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2009"	"2009"	1766	14403575	12.3
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2010"	"2010"	1626	14444865	11.3
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2011"	"2011"	1898	14492360	13.1
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2012"	"2012"	1887	14562704	13.0
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2013"	"2013"	2374	14618806	16.2
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2014"	"2014"	2792	14680722	19.0
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2015"	"2015"	3624	14727584	24.6
"Total"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"			30907	243324923	12.7
	"HHS Region #2  NJ, NY"	"HHS2"	"1999"	"1999"	1516	27242317	5.6
	"HHS Region #2  NJ, NY"	"HHS2"	"2000"	"2000"	1410	27390807	5.1
	"HHS Region #2  NJ, NY"	"HHS2"	"2001"	"2001"	1784	27575509	6.5
	"HHS Region #2  NJ, NY"	"HHS2"	"2002"	"2002"	1736	27690443	6.3
	"HHS Region #2  NJ, NY"	"HHS2"	"2003"	"2003"	1685	27777341	6.1
	"HHS Region #2  NJ, NY"	"HHS2"	"2004"	"2004"	1421	27806128	5.1
	"HHS Region #2  NJ, NY"	"HHS2"	"2005"	"2005"	1767	27784584	6.4
	"HHS Region #2  NJ, NY"	"HHS2"	"2006"	"2006"	2527	27766310	9.1
	"HHS Region #2  NJ, NY"	"HHS2"	"2007"	"2007"	2435	27810220	8.8
	"HHS Region #2  NJ, NY"	"HHS2"	"2008"	"2008"	2393	27923526	8.6
	"HHS Region #2  NJ, NY"	"HHS2"	"2009"	"2009"	1855	28062668	6.6
	"HHS Region #2  NJ, NY"	"HHS2"	"2010"	"2010"	2425	28169996	8.6
	"HHS Region #2  NJ, NY"	"HHS2"	"2011"	"2011"	2960	28286352	10.5
	"HHS Region #2  NJ, NY"	"HHS2"	"2012"	"2012"	3328	28434851	11.7
	"HHS Region #2  NJ, NY"	"HHS2"	"2013"	"2013"	3603	28550466	12.6
	"HHS Region #2  NJ, NY"	"HHS2"	"2014"	"2014"	3553	28684402	12.4
	"HHS Region #2  NJ, NY"	"HHS2"	"2015"	"2015"	4208	28753804	14.6
"Total"	"HHS Region #2  NJ, NY"	"HHS2"			40606	475709724	8.5
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"1999"	"1999"	2158	27675490	7.8
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2000"	"2000"	2425	27820058	8.7
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2001"	"2001"	2419	28043707	8.6
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2002"	"2002"	2703	28243034	9.6
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2003"	"2003"	3149	28436704	11.1
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2004"	"2004"	3261	28648227	11.4
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2005"	"2005"	3173	28852252	11.0
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2006"	"2006"	3570	29069762	12.3
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2007"	"2007"	3757	29248550	12.8
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2008"	"2008"	3900	29435166	13.2
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2009"	"2009"	3725	29654916	12.6
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2010"	"2010"	3859	29829606	12.9
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2011"	"2011"	4675	30048274	15.6
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2012"	"2012"	4705	30238794	15.6
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2013"	"2013"	5010	30389522	16.5
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2014"	"2014"	5694	30534738	18.6
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2015"	"2015"	6636	30654187	21.6
"Total"	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"			64819	496822987	13.0
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"1999"	"1999"	2590	52644737	4.9
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2000"	"2000"	3221	53252966	6.0
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2001"	"2001"	4204	54148670	7.8
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2002"	"2002"	4665	54856185	8.5
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2003"	"2003"	5336	55536461	9.6
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2004"	"2004"	5936	56425292	10.5
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2005"	"2005"	6577	57393064	11.5
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2006"	"2006"	7474	58439884	12.8
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2007"	"2007"	7864	59313566	13.3
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2008"	"2008"	8271	60073894	13.8
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2009"	"2009"	8589	60652733	14.2
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2010"	"2010"	8854	61082315	14.5
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2011"	"2011"	8860	61762344	14.3
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2012"	"2012"	8619	62356916	13.8
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2013"	"2013"	8571	62884128	13.6
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2014"	"2014"	9304	63573351	14.6
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2015"	"2015"	10675	64301783	16.6
"Total"	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"			119610	998698289	12.0
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"1999"	"1999"	2291	49842706	4.6
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2000"	"2000"	2584	50074516	5.2
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2001"	"2001"	2987	50384360	5.9
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2002"	"2002"	3502	50569219	6.9
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2003"	"2003"	3446	50761359	6.8
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2004"	"2004"	4267	50932085	8.4
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2005"	"2005"	4705	51068740	9.2
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2006"	"2006"	5700	51235128	11.1
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2007"	"2007"	5764	51395195	11.2
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2008"	"2008"	6145	51522138	11.9
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2009"	"2009"	5992	51637057	11.6
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2010"	"2010"	6471	51725489	12.5
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2011"	"2011"	7003	51863945	13.5
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2012"	"2012"	7246	51945711	13.9
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2013"	"2013"	7922	52082560	15.2
